label_id,avg_red,avg_green,avg_blue,total_pixel
0,76,118,158,14529
2,61,83,72,1808
11,67,81,80,4458
26,254,254,254,1398
67,218,221,225,1249
93,220,217,222,1019
138,55,79,60,2692
140,62,78,72,1508
179,43,65,51,2491
195,45,72,79,3049
